"county","year","total_cases","total_deaths"
"Chattooga",2020,1842,47
"Chattooga",2021,4959,110
"Chattooga",2022,6687,134
"Chautauqua",2020,3814,24
"Chautauqua",2021,18466,238
"Chautauqua",2022,25400,319
"Chaves",2020,7252,92
"Chaves",2021,15633,233
"Chaves",2022,21774,328
"Cheatham",2020,2865,24
"Cheatham",2021,7700,90
"Cheatham",2022,10967,119
"Cheboygan",2020,737,33
"Cheboygan",2021,3676,80
"Cheboygan",2022,4760,104
"Chelan",2020,5156,36
"Chelan",2021,12966,135
"Chelan",2022,20463,162
"Chemung",2020,4585,96
"Chemung",2021,15282,194
"Chemung",2022,22603,233
"Chenango",2020,1250,21
"Chenango",2021,6785,101
"Chenango",2022,9858,121
"Cherokee",2020,32516,380
"Cherokee",2021,90764,1400
"Cherokee",2022,122489,1710
"Cherry",2020,251,4
"Cherry",2021,465,8
"Cherry",2022,546,10
"Chesapeake city",2020,9426,101
"Chesapeake city",2021,33380,381
"Chesapeake city",2022,51025,497
"Cheshire",2020,1263,7
"Cheshire",2021,9338,72
"Cheshire",2022,15674,112
"Chester",2020,24385,596
"Chester",2021,78540,1172
"Chester",2022,110972,1416
"Chesterfield",2020,15551,232
"Chesterfield",2021,56144,765
"Chesterfield",2022,87323,951
"Cheyenne",2020,1131,27
"Cheyenne",2021,2287,41
"Cheyenne",2022,2959,47
"Chickasaw",2020,2648,48
"Chickasaw",2021,5557,98
"Chickasaw",2022,8304,128
"Chicot",2020,1418,30
"Chicot",2021,2093,48
"Chicot",2022,2778,60
"Childress",2020,1223,7
"Childress",2021,1869,23
"Childress",2022,2638,33
"Chilton",2020,3004,54
"Chilton",2021,7424,173
"Chilton",2022,11131,207
"Chippewa",2020,10080,116
"Chippewa",2021,24543,267
"Chippewa",2022,34070,355
"Chisago",2020,4149,27
"Chisago",2021,11021,100
"Chisago",2022,14845,120
"Chittenden",2020,2658,69
"Chittenden",2021,16325,138
"Chittenden",2022,34629,175
"Choctaw",2020,2093,38
"Choctaw",2021,5306,109
"Choctaw",2022,8425,133
"Chouteau",2020,371,4
"Chouteau",2021,799,9
"Chouteau",2022,991,14
"Chowan",2020,821,20
"Chowan",2021,2566,45
"Chowan",2022,4160,61
"Christian",2020,13195,172
"Christian",2021,32965,492
"Christian",2022,47667,604
"Churchill",2020,1381,39
"Churchill",2021,4463,92
"Churchill",2022,6599,110
"Ciales",2020,604,0
"Ciales",2021,1424,0
"Ciales",2022,3037,0
"Cibola",2020,2809,75
"Cibola",2021,5118,158
"Cibola",2022,8048,189
"Cidra",2020,966,0
"Cidra",2021,2947,0
"Cidra",2022,7154,0
"Cimarron",2020,107,1
"Cimarron",2021,416,0
"Cimarron",2022,566,7
"Citrus",2020,6663,266
"Citrus",2021,21313,839
"Citrus",2022,29988,976
"Clackamas",2020,10143,114
"Clackamas",2021,35476,428
"Clackamas",2022,63827,632
"Claiborne",2020,3477,72
"Claiborne",2021,9651,251
"Claiborne",2022,14573,302
"Clallam",2020,716,4
"Clallam",2021,6130,83
"Clallam",2022,11901,141
"Clare",2020,1224,41
"Clare",2021,5127,131
"Clare",2022,6834,157
"Clarendon",2020,1830,74
"Clarendon",2021,5467,137
"Clarendon",2022,8776,159
"Clarion",2020,2036,46
"Clarion",2021,6550,171
"Clarion",2022,8323,202
"Clark",2020,210859,2963
"Clark",2021,496389,8099
"Clark",2022,733766,10628
"Clarke",2020,14896,161
"Clarke",2021,33868,437
"Clarke",2022,46241,520
"Clatsop",2020,580,3
"Clatsop",2021,2830,36
"Clatsop",2022,4810,50
"Clay",2020,39817,626
"Clay",2021,105876,1750
"Clay",2022,155100,2170
"Clayton",2020,16036,280
"Clayton",2021,49782,861
"Clayton",2022,68122,1049
"Clear Creek",2020,282,2
"Clear Creek",2021,1006,7
"Clear Creek",2022,1601,12
"Clearfield",2020,4138,50
"Clearfield",2021,14538,260
"Clearfield",2022,19533,348
"Clearwater",2020,1485,20
"Clearwater",2021,3451,53
"Clearwater",2022,4499,63
"Cleburne",2020,2322,54
"Cleburne",2021,6958,161
"Cleburne",2022,10032,197
"Clermont",2020,12046,76
"Clermont",2021,35711,405
"Clermont",2022,51997,560
"Cleveland",2020,26483,321
"Cleveland",2021,68888,1000
"Cleveland",2022,111725,1245
"Clinch",2020,653,14
"Clinch",2021,1537,36
"Clinch",2022,2124,42
"Clinton",2020,23437,362
"Clinton",2021,68875,912
"Clinton",2022,101090,1159
"Cloud",2020,859,2
"Cloud",2021,1822,32
"Cloud",2022,2219,36
"Coahoma",2020,1971,52
"Coahoma",2021,4591,113
"Coahoma",2022,6486,126
"Coal",2020,478,4
"Coal",2021,1105,20
"Coal",2022,1672,24
"Coamo",2020,747,0
"Coamo",2021,2177,0
"Coamo",2022,5973,0
"Cobb",2020,45178,577
"Cobb",2021,130033,1466
"Cobb",2022,176832,1819
"Cochise",2020,7585,136
"Cochise",2021,20157,469
"Cochise",2022,31614,573
"Cochran",2020,205,10
"Cochran",2021,524,20
"Cochran",2022,891,23
"Cocke",2020,2841,44
"Cocke",2021,8241,168
"Cocke",2022,11634,217
"Coconino",2020,11344,214
"Coconino",2021,28256,416
"Coconino",2022,44091,478
"Codington",2020,3452,70
"Codington",2021,6450,91
"Codington",2022,8474,101
"Coffee",2020,12700,196
"Coffee",2021,29338,656
"Coffee",2022,41509,780
"Coffey",2020,523,10
"Coffey",2021,1649,33
"Coffey",2022,2435,42
"Coke",2020,393,10
"Coke",2021,712,18
"Coke",2022,843,20
"Colbert",2020,4701,60
"Colbert",2021,9822,214
"Colbert",2022,16356,261
"Cole",2020,7668,90
"Cole",2021,14748,235
"Cole",2022,20202,286
"Coleman",2020,418,15
"Coleman",2021,1244,59
"Coleman",2022,1646,71
"Coles",2020,4294,71
"Coles",2021,9733,148
"Coles",2022,15526,175
"Colfax",2020,2122,42
"Colfax",2021,4039,79
"Colfax",2022,5401,92
"Colleton",2020,1951,55
"Colleton",2021,5962,192
"Colleton",2022,8913,221
"Collier",2020,22506,332
"Collier",2021,62065,884
"Collier",2022,85078,1000
"Collin",2020,49393,373
"Collin",2021,141074,1217
"Collin",2022,215831,1507
"Collingsworth",2020,211,5
"Collingsworth",2021,474,11
"Collingsworth",2022,702,16
"Colonial Heights city",2020,625,28
"Colonial Heights city",2021,3095,71
"Colonial Heights city",2022,4958,97
"Colorado",2020,1018,15
"Colorado",2021,2724,56
"Colorado",2022,3808,64
"Colquitt",2020,3194,53
"Colquitt",2021,8166,204
"Colquitt",2022,11752,246
"Columbia",2020,27781,450
"Columbia",2021,79422,1205
"Columbia",2022,113644,1513
"Columbiana",2020,6147,119
"Columbiana",2021,19079,382
"Columbiana",2022,24651,486
"Columbus",2020,3629,83
"Columbus",2021,10757,234
"Columbus",2022,15997,269
"Colusa",2020,1351,8
"Colusa",2021,3376,21
"Colusa",2022,4549,21
"Comal",2020,6366,163
"Comal",2021,21406,484
"Comal",2022,34812,551
"Comanche",2020,8157,97
"Comanche",2021,24880,410
"Comanche",2022,37312,491
"Comerio",2020,614,0
"Comerio",2021,1412,0
"Comerio",2022,3361,0
"Concho",2020,210,3
"Concho",2021,793,10
"Concho",2022,1084,11
"Concordia",2020,1448,38
"Concordia",2021,3402,80
"Concordia",2022,5103,89
"Conecuh",2020,839,17
"Conecuh",2021,1983,62
"Conecuh",2022,2869,70
"Conejos",2020,318,3
"Conejos",2021,1193,46
"Conejos",2022,1763,54
"Contra Costa",2020,41599,347
"Contra Costa",2021,112315,1073
"Contra Costa",2022,209958,1301
"Converse",2020,803,11
"Converse",2021,2386,48
"Converse",2022,3144,55
"Conway",2020,1343,16
"Conway",2021,3543,48
"Conway",2022,5491,65
"Cook",2020,395045,8310
"Cook",2021,825571,12607
"Cook",2022,1199419,15016
"Cooke",2020,2301,32
"Cooke",2021,5394,109
"Cooke",2022,7409,134
"Cooper",2020,1502,20
"Cooper",2021,3252,58
"Cooper",2022,4138,77
"Coos",2020,1431,25
"Coos",2021,11090,206
"Coos",2022,17989,266
"Coosa",2020,519,7
"Coosa",2021,1948,48
"Coosa",2022,2977,58
"Copiah",2020,2195,45
"Copiah",2021,4916,95
"Copiah",2022,7287,121
"Corozal",2020,1414,0
"Corozal",2021,3482,0
"Corozal",2022,7239,0
"Corson",2020,449,10
"Corson",2021,768,15
"Corson",2022,1070,17
"Cortland",2020,2107,35
"Cortland",2021,7377,92
"Cortland",2022,11365,120
"Coryell",2020,3596,32
"Coryell",2021,11088,169
"Coryell",2022,17626,211
"Coshocton",2020,1703,17
"Coshocton",2021,6129,131
"Coshocton",2022,8008,159
"Costilla",2020,163,2
"Costilla",2021,440,13
"Costilla",2022,708,18
"Cottle",2020,152,5
"Cottle",2021,257,9
"Cottle",2022,319,9
"Cotton",2020,422,10
"Cotton",2021,1028,23
"Cotton",2022,1464,29
"Cottonwood",2020,1221,15
"Cottonwood",2021,2487,34
"Cottonwood",2022,3253,41
"Covington",2020,4789,107
"Covington",2021,11732,296
"Covington",2022,16441,345
"Covington city",2020,385,4
"Covington city",2021,818,19
"Covington city",2022,1299,26
"Coweta",2020,8456,84
"Coweta",2021,24881,401
"Coweta",2022,33335,491
"Cowley",2020,2663,9
"Cowley",2021,6985,134
"Cowley",2022,10194,152
"Cowlitz",2020,2415,29
"Cowlitz",2021,15196,282
"Cowlitz",2022,23312,347
"Craig",2020,1607,8
"Craig",2021,4103,47
"Craig",2022,5913,73
"Craighead",2020,10176,136
"Craighead",2021,25788,257
"Craighead",2022,37767,329
"Crane",2020,512,9
"Crane",2021,1002,19
"Crane",2022,1285,24
"Craven",2020,5127,83
"Craven",2021,15512,164
"Craven",2022,24698,207
"Crawford",2020,24089,342
"Crawford",2021,62967,1037
"Crawford",2022,86662,1287
"Creek",2020,4079,64
"Creek",2021,12165,277
"Creek",2022,18245,338
"Crenshaw",2020,960,36
"Crenshaw",2021,2736,79
"Crenshaw",2022,3834,100
"Crisp",2020,1401,39
"Crisp",2021,3384,119
"Crisp",2022,4678,137
"Crittenden",2020,4696,77
"Crittenden",2021,11531,227
"Crittenden",2022,16607,276
"Crockett",2020,2161,39
"Crockett",2021,4311,92
"Crockett",2022,6290,104
"Crook",2020,845,14
"Crook",2021,4674,82
"Crook",2022,7509,108
"Crosby",2020,351,20
"Crosby",2021,1132,41
"Crosby",2022,1894,45
"Cross",2020,1424,36
"Cross",2021,3198,72
"Cross",2022,4835,83
"Crow Wing",2020,4509,64
"Crow Wing",2021,12214,139
"Crow Wing",2022,16266,170
"Crowley",2020,1660,12
"Crowley",2021,2499,27
"Crowley",2022,3347,30
"Culberson",2020,285,4
"Culberson",2021,418,11
"Culberson",2022,514,14
"Culebra",2020,28,0
"Culebra",2021,121,0
"Culebra",2022,208,0
"Cullman",2020,7194,78
"Cullman",2021,16977,310
"Cullman",2022,24649,367
"Culpeper",2020,3036,23
"Culpeper",2021,8139,95
"Culpeper",2022,11497,149
"Cumberland",2020,45594,856
"Cumberland",2021,160835,2383
"Cumberland",2022,255754,2929
"Cuming",2020,824,9
"Cuming",2021,1444,15
"Cuming",2022,1831,15
"Currituck",2020,649,11
"Currituck",2021,3299,27
"Currituck",2022,5051,36
"Curry",2020,4383,49
"Curry",2021,11002,175
"Curry",2022,16182,252
"Custer",2020,5630,65
"Custer",2021,12220,238
"Custer",2022,16232,303
"Cuyahoga",2020,70137,897
"Cuyahoga",2021,227664,2828
"Cuyahoga",2022,276160,3794
"Dade",2020,1419,37
"Dade",2021,3396,60
"Dade",2022,4840,71
"Daggett",2020,18,0
"Daggett",2021,123,0
"Daggett",2022,153,0
"Dakota",2020,33880,333
"Dakota",2021,81527,737
"Dakota",2022,120490,857
"Dale",2020,3371,63
"Dale",2021,9393,194
"Dale",2022,12947,231
"Dallam",2020,462,19
"Dallam",2021,1425,32
"Dallam",2022,2155,40
"Dallas",2020,205319,2171
"Dallas",2021,462781,6176
"Dallas",2022,610983,7263
"Dane",2020,34732,200
"Dane",2021,72607,409
"Dane",2022,134580,516
"Daniels",2020,138,5
"Daniels",2021,313,9
"Daniels",2022,386,9
"Danville city",2020,2402,63
"Danville city",2021,7029,211
"Danville city",2022,11226,282
"Dare",2020,1024,5
"Dare",2021,4719,15
"Dare",2022,7565,27
"Darke",2020,4140,86
"Darke",2021,9360,189
"Darke",2022,12442,239
"Darlington",2020,4546,94
"Darlington",2021,12918,239
"Darlington",2022,18939,311
"Dauphin",2020,14017,316
"Dauphin",2021,44362,758
"Dauphin",2022,59830,964
"Davidson",2020,77512,655
"Davidson",2021,178848,1723
"Davidson",2022,254416,2103
"Davie",2020,2112,13
"Davie",2021,7602,82
"Davie",2022,11315,104
"Daviess",2020,8510,173
"Daviess",2021,26905,455
"Daviess",2022,40402,574
"Davis",2020,25662,106
"Davis",2021,66915,337
"Davis",2022,102865,436
"Davison",2020,2718,54
"Davison",2021,4533,73
"Davison",2022,5907,80
"Dawes",2020,547,18
"Dawes",2021,1152,21
"Dawes",2022,1356,21
"Dawson",2020,6668,112
"Dawson",2021,13678,251
"Dawson",2022,17591,297
"Day",2020,537,20
"Day",2021,945,30
"Day",2022,1295,35
"De Baca",2020,97,0
"De Baca",2021,400,3
"De Baca",2022,589,6
"De Soto",2020,1764,51
"De Soto",2021,5107,115
"De Soto",2022,7362,135
"De Witt",2020,915,25
"De Witt",2021,2937,39
"De Witt",2022,4424,45
"DeKalb",2020,58557,790
"DeKalb",2021,152787,2097
"DeKalb",2022,216446,2577
"DeSoto",2020,17783,195
"DeSoto",2021,42908,582
"DeSoto",2022,59799,704
"DeWitt",2020,1446,48
"DeWitt",2021,3049,86
"DeWitt",2022,6486,99
"Deaf Smith",2020,2401,56
"Deaf Smith",2021,3732,100
"Deaf Smith",2022,4809,111
"Dearborn",2020,3885,42
"Dearborn",2021,9855,115
"Dearborn",2022,13547,140
"Decatur",2020,6211,154
"Decatur",2021,14460,310
"Decatur",2022,20166,394
"Deer Lodge",2020,847,9
"Deer Lodge",2021,1698,28
"Deer Lodge",2022,2563,29
"Defiance",2020,2722,68
"Defiance",2021,8041,129
"Defiance",2022,10275,165
"Del Norte",2020,769,2
"Del Norte",2021,3963,43
"Del Norte",2022,6381,50
"Delaware",2020,54308,1270
"Delaware",2021,147739,2416
"Delaware",2022,207405,2934
"Delta",2020,4650,105
"Delta",2021,12688,280
"Delta",2022,18102,322
"Denali Borough",2020,59,0
"Denali Borough",2021,294,1
"Denali Borough",2022,424,1
"Dent",2020,710,8
"Dent",2021,2350,63
"Dent",2022,3263,83
"Denton",2020,39182,352
"Denton",2021,116830,1088
"Denton",2022,181158,1354
"Denver",2020,48023,674
"Denver",2021,117579,1099
"Denver",2022,177033,1360
"Des Moines",2020,3548,34
"Des Moines",2021,7472,110
"Des Moines",2022,9192,139
"Deschutes",2020,4082,22
"Deschutes",2021,26067,215
"Deschutes",2022,47906,286
"Desha",2020,967,11
"Desha",2021,2041,36
"Desha",2022,3030,41
"Deuel",2020,482,7
"Deuel",2021,1076,14
"Deuel",2022,1360,14
"Dewey",2020,1684,15
"Dewey",2021,2993,59
"Dewey",2022,4203,76
"Dickens",2020,130,7
"Dickens",2021,280,15
"Dickens",2022,453,16
"Dickenson",2020,642,6
"Dickenson",2021,2222,38
"Dickenson",2022,3321,49
"Dickey",2020,692,32
"Dickey",2021,1191,38
"Dickey",2022,1496,39
"Dickinson",2020,5165,104
"Dickinson",2021,12029,216
"Dickinson",2022,16445,260
"Dickson",2020,4624,59
"Dickson",2021,11314,207
"Dickson",2022,15987,245
"Dillingham Census Area",2020,121,1
"Dillingham Census Area",2021,996,10
"Dillingham Census Area",2022,1932,11
"Dillon",2020,2376,59
"Dillon",2021,6728,120
"Dillon",2022,9729,144
"Dimmit",2020,626,13
"Dimmit",2021,3867,47
"Dimmit",2022,5760,51
"Dinwiddie",2020,924,15
"Dinwiddie",2021,3735,62
"Dinwiddie",2022,5442,93
"District of Columbia",2020,29252,788
"District of Columbia",2021,94286,1211
"District of Columbia",2022,143943,1340
"Divide",2020,137,2
"Divide",2021,339,3
"Divide",2022,459,4
"Dixie",2020,1115,11
"Dixie",2021,3013,52
"Dixie",2022,4046,70
"Dixon",2020,490,6
"Dixon",2021,886,11
"Dixon",2022,1207,11
"Doddridge",2020,257,3
"Doddridge",2021,1551,13
"Doddridge",2022,2162,18
"Dodge",2020,17512,251
"Dodge",2021,35528,508
"Dodge",2022,48860,623
"Dolores",2020,52,0
"Dolores",2021,288,6
"Dolores",2022,367,8
"Doniphan",2020,738,7
"Doniphan",2021,1775,29
"Doniphan",2022,2456,34
"Donley",2020,268,7
"Donley",2021,729,18
"Donley",2022,1153,26
"Dooly",2020,682,25
"Dooly",2021,1755,62
"Dooly",2022,2383,69
"Door",2020,2204,15
"Door",2021,4811,49
"Door",2022,7097,71
"Dorado",2020,1870,0
"Dorado",2021,4431,0
"Dorado",2022,7845,0
"Dorchester",2020,9736,150
"Dorchester",2021,41682,487
"Dorchester",2022,64144,604
"Dougherty",2020,4846,213
"Dougherty",2021,13169,431
"Dougherty",2022,19863,498
"Douglas",2020,100588,1071
"Douglas",2021,246872,2454
"Douglas",2022,367044,3029
"Doña Ana",2020,17851,280
"Doña Ana",2021,41044,603
"Doña Ana",2022,63972,773
"Drew",2020,1463,19
"Drew",2021,3086,57
"Drew",2022,4686,70
"DuPage",2020,61805,1030
"DuPage",2021,142738,1530
"DuPage",2022,224631,1806
"Dubois",2020,4705,53
"Dubois",2021,9402,150
"Dubois",2022,12909,165
"Dubuque",2020,10653,136
"Dubuque",2021,20646,263
"Dubuque",2022,26325,295
"Duchesne",2020,912,6
"Duchesne",2021,3237,21
"Duchesne",2022,4397,27
"Dukes",2020,483,0
"Dukes",2021,2374,0
"Dukes",2022,3587,0
"Dundy",2020,102,4
"Dundy",2021,278,5
"Dundy",2022,335,6
"Dunklin",2020,2096,15
"Dunklin",2021,4903,93
"Dunklin",2022,7824,117
"Dunn",2020,4155,30
"Dunn",2021,10464,68
"Dunn",2022,14652,83
"Duplin",2020,4227,67
"Duplin",2021,10774,199
"Duplin",2022,16909,245
"Durham",2020,15173,144
"Durham",2021,40468,269
"Durham",2022,76734,338
"Dutchess",2020,12379,237
"Dutchess",2021,46464,536
"Dutchess",2022,66962,659
"Duval",2020,62205,753
"Duval",2021,178883,2950
"Duval",2022,258601,3480
"Dyer",2020,4254,70
"Dyer",2021,8570,165
"Dyer",2022,12826,203
"Eagle",2020,3392,16
"Eagle",2021,11646,32
"Eagle",2022,16274,35
"Early",2020,811,41
"Early",2021,1958,58
"Early",2022,2765,62
"East Baton Rouge",2020,25726,583
"East Baton Rouge",2021,70112,1180
"East Baton Rouge",2022,111670,1349
"East Carroll",2020,959,16
"East Carroll",2021,1786,33
"East Carroll",2022,2538,38
"East Feliciana",2020,2458,91
"East Feliciana",2021,4731,145
"East Feliciana",2022,7324,170
"Eastland",2020,828,16
"Eastland",2021,2346,90
"Eastland",2022,2829,113
"Eaton",2020,4667,88
"Eaton",2021,18365,326
"Eaton",2022,27518,402
"Eau Claire",2020,9521,86
"Eau Claire",2021,20995,163
"Eau Claire",2022,31318,187
"Echols",2020,380,3
"Echols",2021,744,11
"Echols",2022,937,12
"Ector",2020,11543,224
"Ector",2021,28114,571
"Ector",2022,37544,703
"Eddy",2020,4999,79
"Eddy",2021,13218,233
"Eddy",2022,17830,288
"Edgar",2020,1344,42
"Edgar",2021,3475,72
"Edgar",2022,5209,79
"Edgecombe",2020,3227,81
"Edgecombe",2021,8828,127
"Edgecombe",2022,13616,154
"Edgefield",2020,1551,26
"Edgefield",2021,4745,60
"Edgefield",2022,6779,71
"Edmonson",2020,559,13
"Edmonson",2021,1748,34
"Edmonson",2022,2563,47
"Edmunds",2020,369,4
"Edmunds",2021,712,14
"Edmunds",2022,949,16
"Edwards",2020,820,8
"Edwards",2021,2082,44
"Edwards",2022,2772,53
"Effingham",2020,6582,92
"Effingham",2021,17196,299
"Effingham",2022,24025,346
"El Dorado",2020,5662,24
"El Dorado",2021,19556,172
"El Dorado",2022,30508,212
"El Paso",2020,140534,2267
"El Paso",2021,293007,4540
"El Paso",2022,399176,5429
"Elbert",2020,2655,43
"Elbert",2021,6859,124
"Elbert",2022,9438,149
"Elk",2020,1579,17
"Elk",2021,5757,83
"Elk",2022,7764,111
"Elkhart",2020,22888,328
"Elkhart",2021,43635,620
"Elkhart",2022,54388,734
"Elko",2020,3896,34
"Elko",2021,9820,124
"Elko",2022,11668,138
"Elliott",2020,784,1
"Elliott",2021,1486,13
"Elliott",2022,2594,19
"Ellis",2020,16801,216
"Ellis",2021,41312,574
"Ellis",2022,57111,674
"Ellsworth",2020,1059,4
"Ellsworth",2021,1602,31
"Ellsworth",2022,2016,32
"Elmore",2020,7910,92
"Elmore",2021,21238,350
"Elmore",2022,30684,417
"Emanuel",2020,1880,53
"Emanuel",2021,4620,144
"Emanuel",2022,5924,160
"Emery",2020,569,6
"Emery",2021,1761,25
"Emery",2022,2486,28
"Emmet",2020,2227,57
"Emmet",2021,6492,107
"Emmet",2022,8973,139
"Emmons",2020,376,10
"Emmons",2021,615,16
"Emmons",2022,728,18
"Emporia city",2020,416,30
"Emporia city",2021,887,46
"Emporia city",2022,1187,55
"Erath",2020,3026,30
"Erath",2021,6616,109
"Erath",2022,8790,123
"Erie",2020,58729,1543
"Erie",2021,208370,3093
"Erie",2022,305007,3678
"Escambia",2020,25031,407
"Escambia",2021,64390,1255
"Escambia",2022,88271,1482
"Esmeralda",2020,32,0
"Esmeralda",2021,63,2
"Esmeralda",2022,109,3
"Essex",2020,107424,4115
"Essex",2021,312467,6006
"Essex",2022,446600,6469
"Estill",2020,670,0
"Estill",2021,2653,37
"Estill",2022,4120,50
"Etowah",2020,10110,96
"Etowah",2021,20687,527
"Etowah",2022,28779,651
"Eureka",2020,30,0
"Eureka",2021,252,1
"Eureka",2022,165,2
"Evangeline",2020,2624,57
"Evangeline",2021,6131,144
"Evangeline",2022,8398,159
"Evans",2020,668,13
"Evans",2021,1717,55
"Evans",2022,2370,65
"Fairbanks North Star Borough",2020,4900,19
"Fairbanks North Star Borough",2021,17554,117
"Fairbanks North Star Borough",2022,27763,142
"Fairfax",2020,44525,683
"Fairfax",2021,116752,1210
"Fairfax",2022,188156,1453
"Fairfax city",2020,305,10
"Fairfax city",2021,1329,36
"Fairfax city",2022,2056,43
"Fairfield",2020,67683,1844
"Fairfield",2021,171864,2766
"Fairfield",2022,259195,3270
"Fajardo",2020,1046,0
"Fajardo",2021,2848,0
"Fajardo",2022,5408,0
"Fall River",2020,454,12
"Fall River",2021,1289,30
"Fall River",2022,1807,39
"Fallon",2020,268,2
"Fallon",2021,562,10
"Fallon",2022,680,10
"Falls",2020,1199,17
"Falls",2021,2651,52
"Falls",2022,3797,65
"Falls Church city",2020,181,6
"Falls Church city",2021,984,14
"Falls Church city",2022,2226,17
"Fannin",2020,3260,96
"Fannin",2021,9331,272
"Fannin",2022,12038,343
"Faribault",2020,911,11
"Faribault",2021,2841,40
"Faribault",2022,3843,52
"Faulk",2020,313,12
"Faulk",2021,468,16
"Faulk",2022,572,16
"Faulkner",2020,7817,94
"Faulkner",2021,22468,239
"Faulkner",2022,35251,316
"Fauquier",2020,2416,28
"Fauquier",2021,9137,95
"Fauquier",2022,13267,144
"Fayette",2020,51494,641
"Fayette",2021,139910,2059
"Fayette",2022,210492,2641
"Fentress",2020,1880,29
"Fentress",2021,4033,89
"Fentress",2022,5722,128
"Fergus",2020,860,13
"Fergus",2021,1904,51
"Fergus",2022,2515,56
"Ferry",2020,176,2
"Ferry",2021,928,18
"Ferry",2022,1420,29
"Fillmore",2020,1519,8
"Fillmore",2021,4267,30
"Fillmore",2022,6075,37
"Finney",2020,5482,35
"Finney",2021,8669,99
"Finney",2022,11545,115
"Fisher",2020,221,9
"Fisher",2021,457,19
"Fisher",2022,609,24
"Flagler",2020,3724,48
"Flagler",2021,15519,278
"Flagler",2022,22651,359
"Flathead",2020,8854,56
"Flathead",2021,21480,225
"Flathead",2022,29318,281
"Fleming",2020,711,2
"Fleming",2021,2584,42
"Fleming",2022,3928,59
"Florence",2020,10916,271
"Florence",2021,29344,568
"Florence",2022,42954,648
"Florida",2020,631,0
"Florida",2021,1245,0
"Florida",2022,2900,0
"Floyd",2020,17224,321
"Floyd",2021,47372,934
"Floyd",2022,67383,1187
"Fluvanna",2020,786,10
"Fluvanna",2021,3328,32
"Fluvanna",2022,5260,46
"Foard",2020,70,4
"Foard",2021,189,10
"Foard",2022,209,11
"Fond du Lac",2020,11293,75
"Fond du Lac",2021,22910,198
"Fond du Lac",2022,32524,278
"Ford",2020,6409,53
"Ford",2021,10956,168
"Ford",2022,15125,188
"Forest",2020,1229,28
"Forest",2021,3754,71
"Forest",2022,4944,87
"Forrest",2020,5292,102
"Forrest",2021,14459,263
"Forrest",2022,22076,315
"Forsyth",2020,31693,302
"Forsyth",2021,99293,926
"Forsyth",2022,150509,1225
"Fort Bend",2020,36324,392
"Fort Bend",2021,114766,1061
"Fort Bend",2022,189442,1260
"Foster",2020,525,19
"Foster",2021,730,19
"Foster",2022,992,23
"Fountain",2020,1547,24
"Fountain",2021,4206,76
"Fountain",2022,5491,103
"Franklin",2020,141266,1708
"Franklin",2021,378630,4522
"Franklin",2022,554248,5852
"Franklin city",2020,680,17
"Franklin city",2021,1784,44
"Franklin city",2022,2395,52
"Frederick",2020,15322,224
"Frederick",2021,45226,601
"Frederick",2022,67824,774
"Fredericksburg city",2020,1048,11
"Fredericksburg city",2021,3691,27
"Fredericksburg city",2022,5498,42
"Freeborn",2020,1992,18
"Freeborn",2021,6349,51
"Freeborn",2022,9250,75
"Freestone",2020,934,24
"Freestone",2021,2846,73
"Freestone",2022,3880,82
"Fremont",2020,9992,103
"Fremont",2021,23158,355
"Fremont",2022,32821,433
"Fresno",2020,66442,646
"Fresno",2021,163067,2379
"Fresno",2022,257611,2757
"Frio",2020,1803,12
"Frio",2021,4261,78
"Frio",2022,5935,93
"Frontier",2020,153,1
"Frontier",2021,449,2
"Frontier",2022,543,3
"Fulton",2020,67645,971
"Fulton",2021,195409,2497
"Fulton",2022,269611,3116
"Furnas",2020,363,4
"Furnas",2021,838,6
"Furnas",2022,1126,8
"Gadsden",2020,3987,59
"Gadsden",2021,9563,161
"Gadsden",2022,13475,207
"Gage",2020,1839,13
"Gage",2021,2844,31
"Gage",2022,3562,44
"Gaines",2020,1234,29
"Gaines",2021,2212,68
"Gaines",2022,2215,83
"Galax city",2020,837,35
"Galax city",2021,1758,69
"Galax city",2022,2561,78
"Gallatin",2020,10210,51
"Gallatin",2021,25983,159
"Gallatin",2022,38608,191
"Gallia",2020,1668,23
"Gallia",2021,5155,85
"Gallia",2022,7565,127
"Galveston",2020,21725,220
"Galveston",2021,69471,729
"Galveston",2022,96616,853
"Garden",2020,92,1
"Garden",2021,266,1
"Garden",2022,376,1
"Garfield",2020,9918,86
"Garfield",2021,22327,322
"Garfield",2022,32255,414
"Garland",2020,5898,154
"Garland",2021,16816,429
"Garland",2022,23359,510
"Garrard",2020,940,4
"Garrard",2021,3189,59
"Garrard",2022,4815,78
"Garrett",2020,1488,53
"Garrett",2021,4256,98
"Garrett",2022,5761,116
"Garvin",2020,2306,18
"Garvin",2021,5143,107
"Garvin",2022,7068,148
"Garza",2020,267,17
"Garza",2021,767,25
"Garza",2022,1279,28
"Gasconade",2020,689,29
"Gasconade",2021,2545,87
"Gasconade",2022,3385,102
"Gaston",2020,15513,239
"Gaston",2021,45518,652
"Gaston",2022,65857,850
"Gates",2020,357,12
"Gates",2021,1237,18
"Gates",2022,1926,20
"Geary",2020,1841,17
"Geary",2021,5435,62
"Geary",2022,9262,75
"Geauga",2020,4022,53
"Geauga",2021,13413,206
"Geauga",2022,16413,265
"Gem",2020,1417,21
