"county","year","total_cases","total_deaths"
"Arlington",2021,26170,283
"Arlington",2022,46198,322
"Armstrong",2020,3617,75
"Armstrong",2021,12325,283
"Armstrong",2022,15952,352
"Aroostook",2020,617,8
"Aroostook",2021,7304,104
"Aroostook",2022,14393,166
"Arroyo",2020,315,0
"Arroyo",2021,822,0
"Arroyo",2022,2760,0
"Arthur",2020,18,0
"Arthur",2021,29,1
"Arthur",2022,31,1
"Ascension",2020,7849,117
"Ascension",2021,23642,250
"Ascension",2022,35030,293
"Ashe",2020,1212,27
"Ashe",2021,4121,58
"Ashe",2022,6471,78
"Ashland",2020,3790,53
"Ashland",2021,11647,191
"Ashland",2022,15473,254
"Ashley",2020,1291,21
"Ashley",2021,3393,55
"Ashley",2022,5115,66
"Ashtabula",2020,3829,66
"Ashtabula",2021,15510,309
"Ashtabula",2022,20537,431
"Asotin",2020,959,18
"Asotin",2021,3185,52
"Asotin",2022,4554,66
"Assumption",2020,1379,28
"Assumption",2021,3927,57
"Assumption",2022,5575,70
"Atascosa",2020,2938,68
"Atascosa",2021,8960,211
"Atascosa",2022,13647,231
"Atchison",2020,1528,15
"Atchison",2021,3953,45
"Atchison",2022,5710,57
"Athens",2020,3101,9
"Athens",2021,9068,104
"Athens",2022,14852,142
"Atkinson",2020,785,9
"Atkinson",2021,1627,39
"Atkinson",2022,2200,50
"Atlantic",2020,12346,370
"Atlantic",2021,49375,819
"Atlantic",2022,70482,997
"Atoka",2020,1307,3
"Atoka",2021,2827,40
"Atoka",2022,3911,54
"Attala",2020,1751,51
"Attala",2021,3541,90
"Attala",2022,5361,113
"Audrain",2020,1871,36
"Audrain",2021,4449,87
"Audrain",2022,5717,110
"Audubon",2020,384,7
"Audubon",2021,846,18
"Audubon",2022,1114,19
"Auglaize",2020,3642,55
"Auglaize",2021,8724,135
"Auglaize",2022,11642,189
"Augusta",2020,3365,29
"Augusta",2021,12068,141
"Augusta",2022,18922,206
"Aurora",2020,414,8
"Aurora",2021,611,17
"Aurora",2022,805,17
"Austin",2020,1037,15
"Austin",2021,3927,57
"Austin",2022,5818,73
"Autauga",2020,4239,50
"Autauga",2021,11018,160
"Autauga",2022,15863,216
"Avery",2020,1342,15
"Avery",2021,3162,39
"Avery",2022,4621,44
"Avoyelles",2020,2695,90
"Avoyelles",2021,7679,181
"Avoyelles",2022,11600,208
"Baca",2020,194,1
"Baca",2021,590,7
"Baca",2022,855,13
"Bacon",2020,1027,25
"Bacon",2021,2720,64
"Bacon",2022,3692,78
"Bailey",2020,719,13
"Bailey",2021,1123,30
"Bailey",2022,1511,39
"Baker",2020,3119,47
"Baker",2021,8856,172
"Baker",2022,12479,205
"Baldwin",2020,17068,244
"Baldwin",2021,47038,796
"Baldwin",2022,65436,921
"Ballard",2020,233,2
"Ballard",2021,832,26
"Ballard",2022,1387,29
"Baltimore",2020,39030,942
"Baltimore",2021,94841,1975
"Baltimore",2022,136295,2484
"Baltimore city",2020,31932,711
"Baltimore city",2021,79808,1426
"Baltimore city",2022,116724,1777
"Bamberg",2020,957,40
"Bamberg",2021,2253,64
"Bamberg",2022,3446,75
"Bandera",2020,575,12
"Bandera",2021,2545,64
"Bandera",2022,3636,77
"Banks",2020,1264,20
"Banks",2021,2986,71
"Banks",2022,3990,94
"Banner",2020,26,0
"Banner",2021,71,2
"Banner",2022,87,2
"Bannock",2020,6443,63
"Bannock",2021,14698,216
"Bannock",2022,20914,247
"Baraga",2020,610,28
"Baraga",2021,1665,49
"Baraga",2022,2222,54
"Barber",2020,291,2
"Barber",2021,691,7
"Barber",2022,1043,8
"Barbour",2020,2309,42
"Barbour",2021,7117,137
"Barbour",2022,10519,171
"Barceloneta",2020,612,0
"Barceloneta",2021,1665,0
"Barceloneta",2022,4087,0
"Barnes",2020,1243,29
"Barnes",2021,2233,40
"Barnes",2022,3024,47
"Barnstable",2020,5396,238
"Barnstable",2021,24650,559
"Barnstable",2022,37644,584
"Barnwell",2020,1455,30
"Barnwell",2021,4060,88
"Barnwell",2022,5834,103
"Barranquitas",2020,1001,0
"Barranquitas",2021,2703,0
"Barranquitas",2022,5533,0
"Barren",2020,2563,35
"Barren",2021,9219,179
"Barren",2022,13032,219
"Barron",2020,4617,57
"Barron",2021,10568,116
"Barron",2022,13743,144
